Bedroom,Bathroom,Property Size,Tenure Type,# of Floors,Total Units,Property Type,Parking Lot,Floor Range,Land Title,State,Property Age,Listed_Facility_Count,Has_Bus_Stop,Has_Mall,Has_Park,Has_School,Has_Hospital,Has_Highway,Has_Railway_Station,Is_Non_Bumi_Lot,Freehold Indicator,Floor_Range_Ordinal,Has_Barbeque_Area,Has_Club_House,Has_Gymnasium,Has_Jogging_Track,Has_Lift,Has_Minimart,Has_Multipurpose_Hall,Has_Parking,Has_Playground,Has_Sauna,Has_Security,Has_Squash_Court,Has_Swimming_Pool,Has_Tennis_Court,price
3,2,750.0,Leasehold,,,Apartment,1.0,Low,Bumi Lot,Selangor,,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194999.99999999994
3,2,1316.0,Freehold,18.0,248.0,Condominium,2.0,Medium,Non Bumi Lot,Kuala Lumpur,,10,0,0,1,1,1,0,0,1,1,2.0,1,1,1,0,1,1,0,1,0,1,1,1,1,0,690000.0000000002
2,2,640.0,Leasehold,,,Apartment,1.0,,Bumi Lot,Sarawak,,3,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,1,0,0,1,0,0,0,289999.9999999999
3,2,1033.0,Leasehold,4.0,,Condominium,1.0,Medium,Bumi Lot,Selangor,16.0,11,0,1,1,1,0,0,1,0,0,2.0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,429000.0000000003
4,2,1272.0,Leasehold,22.0,800.0,Condominium,2.0,Medium,Non Bumi Lot,Kuala Lumpur,15.0,12,1,1,1,1,1,0,0,1,0,2.0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,480000.0000000003
3,2,650.0,Freehold,,,Apartment,1.0,High,Non Bumi Lot,Penang,,4,0,0,0,0,0,0,0,1,1,3.0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,260000.00000000015
3,2,1175.0,Freehold,,,Condominium,2.0,High,Non Bumi Lot,Penang,,5,0,0,0,0,0,0,0,1,1,3.0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,800000.0000000003
3,2,950.0,Leasehold,,,Apartment,,,Non Bumi Lot,Johor,,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268000.0000000001
3,2,850.0,Leasehold,5.0,,Duplex,1.0,Medium,Non Bumi Lot,Sabah,,1,0,0,0,0,0,0,0,1,0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,260000.00000000015
3,2,1419.0,Freehold,24.0,1235.0,Condominium,2.0,High,Non Bumi Lot,Penang,2.0,8,0,0,0,0,0,0,0,1,1,3.0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,979999.9999999995
2,2,740.0,Freehold,,,Service Residence,1.0,Medium,Non Bumi Lot,Johor,,9,0,0,0,0,0,0,0,1,1,2.0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,359999.99999999994
3,2,1151.0,Freehold,,,Service Residence,1.0,Medium,Non Bumi Lot,Johor,,3,0,0,0,0,0,0,0,1,1,2.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,400000.0000000002
1,1,468.0,Freehold,,,Condominium,1.0,,Non Bumi Lot,,,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550000.0000000001
3,2,856.0,Freehold,,808.0,Condominium,2.0,Medium,Non Bumi Lot,Penang,,5,0,0,0,0,0,0,0,1,1,2.0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,509999.99999999977
3,2,800.0,Leasehold,,1900.0,Apartment,2.0,High,Non Bumi Lot,Penang,7.0,3,0,0,0,0,0,0,0,1,0,3.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,420000.00000000023
3,2,710.0,Leasehold,5.0,40.0,Apartment,1.0,,Non Bumi Lot,Selangor,,5,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,1,1,0,1,0,1,0,298999.99999999977
3,2,1400.0,Freehold,16.0,246.0,Condominium,1.0,Medium,Bumi Lot,Kuala Lumpur,13.0,11,0,0,0,0,0,0,0,0,1,2.0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,629999.9999999999
3,2,770.0,Leasehold,18.0,200.0,Apartment,,Medium,Non Bumi Lot,Selangor,17.0,0,1,0,1,1,0,0,1,1,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260000.00000000015
3,2,700.0,Freehold,5.0,360.0,Condominium,1.0,,Non Bumi Lot,Penang,29.0,4,0,0,0,0,0,0,0,1,1,,0,0,0,0,1,0,0,1,1,0,1,0,0,0,264999.9999999999
3,2,654.0,Freehold,38.0,554.0,Apartment,1.0,Medium,Non Bumi Lot,Penang,9.0,4,0,0,0,0,0,0,0,1,1,2.0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,348999.9999999999
3,2,775.0,Leasehold,18.0,200.0,Apartment,,Low,Bumi Lot,Selangor,17.0,4,1,0,1,1,0,0,1,0,0,1.0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,275000.00000000006
3,2,950.0,Freehold,21.0,,Condominium,1.0,Medium,Non Bumi Lot,Penang,23.0,9,0,0,0,0,0,0,0,1,1,2.0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,380000.0000000003
3,2,770.0,Freehold,,392.0,Apartment,,Medium,Non Bumi Lot,Johor,,14,0,0,0,0,0,0,0,1,1,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,295000.00000000006
4,3,1646.0,Freehold,44.0,378.0,Condominium,2.0,,Non Bumi Lot,Penang,5.0,7,0,0,0,0,0,0,0,1,1,,1,0,1,0,0,0,1,0,1,1,1,0,1,0,919999.9999999993
1,1,391.0,Leasehold,,,Condominium,,Medium,Non Bumi Lot,Sabah,,7,0,0,0,0,0,0,0,1,0,2.0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,219999.99999999985
3,2,1274.0,Freehold,,215.0,Apartment,2.0,Medium,Non Bumi Lot,Selangor,4.0,5,0,0,0,0,0,0,0,1,1,2.0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,384999.9999999997
2,3,1300.0,Leasehold,,,Condominium,,Low,Non Bumi Lot,Sabah,,9,0,0,0,0,0,0,0,1,0,1.0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,608000.0
3,2,1060.0,Freehold,25.0,237.0,Condominium,1.0,,Non Bumi Lot,Penang,27.0,8,0,0,0,0,0,0,0,1,1,,1,0,1,0,1,0,1,1,1,0,1,0,1,0,450000.00000000035
