Bedroom,Bathroom,Property Size,Tenure Type,# of Floors,Total Units,Property Type,Parking Lot,Floor Range,Land Title,State,Property Age,Listed_Facility_Count,Has_Bus_Stop,Has_Mall,Has_Park,Has_School,Has_Hospital,Has_Highway,Has_Railway_Station,Is_Non_Bumi_Lot,Freehold Indicator,Floor_Range_Ordinal,Has_Barbeque_Area,Has_Club_House,Has_Gymnasium,Has_Jogging_Track,Has_Lift,Has_Minimart,Has_Multipurpose_Hall,Has_Parking,Has_Playground,Has_Sauna,Has_Security,Has_Squash_Court,Has_Swimming_Pool,Has_Tennis_Court,price
3,2,700.0,Freehold,,,Flat,,Low,Non Bumi Lot,Penang,,0,0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120000
2,2,900.0,Freehold,38.0,473.0,Condominium,2.0,Low,Non Bumi Lot,Penang,5.0,8,0,0,0,0,0,0,0,1,1,1.0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,500000
3,2,1175.0,Freehold,32.0,,Condominium,1.0,,Bumi Lot,Kuala Lumpur,28.0,7,0,0,0,0,0,0,0,0,1,,0,0,1,0,1,0,0,1,1,1,1,0,1,0,430000
3,2,850.0,Freehold,21.0,406.0,Condominium,1.0,Low,Non Bumi Lot,Penang,25.0,4,0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,380000
3,2,960.0,Freehold,12.0,480.0,Condominium,1.0,Medium,Non Bumi Lot,Selangor,23.0,11,0,0,0,0,1,0,0,1,1,2.0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,340000
3,2,789.0,Freehold,4.0,,Apartment,1.0,Low,Non Bumi Lot,Selangor,,2,1,0,0,1,0,0,0,1,1,1.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,160000
2,1,646.0,Freehold,63.0,956.0,Service Residence,1.0,,Non Bumi Lot,Kuala Lumpur,2.0,11,1,1,1,1,0,0,0,1,1,,1,1,1,1,1,0,1,1,1,1,1,0,1,0,432000
3,2,1050.0,Leasehold,,,Condominium,2.0,Medium,Non Bumi Lot,Selangor,,8,0,0,0,0,0,0,0,1,0,2.0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,418000
2,2,855.0,Leasehold,9.0,672.0,Condominium,,Medium,Non Bumi Lot,Kuala Lumpur,18.0,8,0,0,0,0,0,0,0,1,0,2.0,0,1,1,0,1,0,0,1,1,0,1,0,1,1,255000
3,2,1200.0,Freehold,10.0,,Condominium,1.0,Medium,Non Bumi Lot,Penang,,3,0,0,0,0,0,0,0,1,1,2.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,380000
3,2,675.0,Leasehold,5.0,,Apartment,,High,Non Bumi Lot,Kuala Lumpur,,2,0,0,0,0,0,0,0,1,0,3.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,97999
4,3,1661.0,Freehold,41.0,192.0,Condominium,2.0,Medium,Non Bumi Lot,Kuala Lumpur,12.0,5,1,1,1,1,1,1,0,1,1,2.0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1150000
3,2,1000.0,Leasehold,18.0,,Condominium,1.0,High,Non Bumi Lot,Kuala Lumpur,,6,0,1,0,1,1,0,1,1,0,3.0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,350000
2,3,1378.0,Leasehold,,,Condominium,1.0,,Non Bumi Lot,Sarawak,,7,0,0,0,0,0,0,0,1,0,,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1500000
3,2,829.0,Freehold,6.0,225.0,Apartment,1.0,Medium,Non Bumi Lot,Selangor,,4,0,0,0,0,0,0,0,1,1,2.0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,220000
3,2,861.0,Freehold,26.0,,Condominium,,Medium,Non Bumi Lot,Kuala Lumpur,,9,1,1,1,1,0,0,1,1,1,2.0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,490000
